,text
1615,"['chance', 'crawford']"
1616,"['swallow', 'bug', 'phone', 'gon', 'na', 'die']"
1617,"['test', 'without', 'success']"
1618,"['come', 'bak', 'dark', 'side']"
1619,"['welcome', 'new', 'follower', 'look', 'forward', 'share', 'learn']"
1620,"['okey', 'donkey', 'artichoke', 'happen']"
1621,"['ponte', '2', 'meet', 'mummy', '4', 'coffee', 'catch']"
1622,"['still', 'laugh', 'ur', 'foolish', 'self', 'last', 'night', 'hows', 'ur', 'leg', 'rest', 'right']"
1623,"['listen', 'adam', 'lambert', 'ready']"
1624,"['look', 'laptop', 'dad']"
1625,['mexico']
1626,"['ncis', 'best', 'ever', 'well', 'best', 'crime', 'scene', 'show']"
1627,"['gift', 'enjoy']"
1628,"['hoh', 'vega', 'nothing', 'trouble']"
1629,"['sorry', 'life', 'crazy', 'try', 'better', 'see', 'people', 'talk', 'try']"
1630,"['road', 'trip', 'come']"
1631,"['need', 'new', 'gym', 'membership']"
1632,"['keep', 'suggestion', 'come', 'classic']"
1633,"['miss', 'already']"
1634,"['thanks', 'info', 'big', 'pilar', 'fan']"
1635,"['ready', 'bowl']"
1636,"['two', 'deep', 'scratch', 'gon', 'na', 'need']"
1637,"['dinner', 'pretty', 'anniversary', 'date', 'night', 'half', 'already', 'boo']"
1638,"['say', 'mean']"
1639,"['hometown', 'couldnt', 'make', 'hope', 'crowd', 'show', 'mad']"
1640,"['aint', 'nothing', 'sleep', 'saturday', 'morning']"
1641,"['want', 'new', 'kitty']"
1642,"['know', 'always', 'say', 'africa', 'inspires', 'kinda', 'doubt']"
1643,"['miss', 'long', 'hair']"
1644,"['hahaha', 'worry', 'bring', 'lot', 'email', 'feel', 'discourage', 'require', 'lot', 'lot', 'time']"
1645,"['hate', 'gary', 'feeling', 'young']"
1646,"['wif', 'thats', 'mess', 'julie', 'suppose', 'let', 'know', 'event']"
1647,"['tell', 'something', 'know', 'haha']"
1648,"['pay', '20', 'tax', '158', 'textbook', 'happy', 'person']"
1649,"['easter', 'school', 'two', 'hour', 'double', 'music', 'yay', 'ex']"
1650,['morning']
1651,"['june', 'excited']"
1652,[]
1653,"['see', 'san', 'francisco', 'tour', 'date', 'cancel', 'disheartening', 'turbulent', 'vacation']"
1654,['workbook']
1655,"['wish', 'could', 'bear', 'poor', 'mexican']"
1656,"['finally', 'watch', 'taylor', 'swift', 'music', 'vid', 'belong', 'thepeople', 'ask', 'help', 'guess', 'ur', '2', 'famous', 'help']"
1657,"['soo', 'excite', 'long', 'lose', 'friend', 'return', 'wait', 'talk', 'length']"
1658,"['dude', 'suck']"
1659,"['pretty', 'snappy', 'lose', 'theme', 'tho']"
1660,['photo']
1661,"['new', 'moon', 'sneak', 'peak', 'awesome', 'cute']"
1662,"['summer', 'ball', 'friggin', 'massive']"
1663,"['avoid', 'phone', 'gosh', 'adult']"
1664,"['nope', 'av', '2', 'send', 'email', 'sayin', 'accept', 'mo', 'application', 'coz', 'full', 'bother', 'six']"
1665,"['lovely', 'stick', 'stinky', 'office', 'till', '8']"
1666,"['make', 'want', 'put', '1', '2', 'da', 'air', 'ta', 'make', 'callow']"
1667,"['bronchitis', 'even', 'though', 'miss', 'would', 'rather', 'well', 'cough']"
1668,"['whoa', '4', 'hour', 'nap', 'havent', 'eat', 'anything', 'feel', 'little', 'dizzy']"
1669,"['gon', 'na', 'positive', 'week', 'gon', 'na', 'great']"
1670,"['officially', 'lowest', 'weight', 'since', 'high', 'school', 'minus', 'coke', 'head', 'hearthat', 'insane', 'explain', 'smaller', 'boob']"
1671,"['hour', 'bankruptcy', 'recession', 'hit', 'hard', 'camaro']"
1672,"['tell', 'excited', 'performance', 'normal', 'chance']"
1673,"['whoa', 'ellen', 'pompey', 'aka', 'meredith', 'grey', 'grey', 'anatomy', 'pregnant']"
1674,"['another', 'feck', 'allie', 'gon', 'na', 'decorate', 'mum', 'bathroom', 'later']"
1675,"['haha', 'ding', 'dong', 'ditch', 'wish']"
1676,"['cant', 'wait', 'give', 'stitch', 'stimulation', 'play', 'time', 'rattle', 'friend', 'desperately', 'deserves']"
1677,"['head', 'gym', 'teach', 'ride', 'soooo', 'tire', 'morning', 'sleep', 'well']"
1678,"['wow', 'havent', 'update', 'almost', 'week', 'glad', 'finish', 'high', 'school', 'enrol', 'college', 'head', 'bed']"
1679,"['havent', 'wendy', 'long', 'time']"
1680,"['know', 'mason', 'gon', 'na', 'cry']"
1681,"['lol', 'yup', 'read', 'right', 'since', '3']"
1682,"['send', 'email', 'tell', 'ur', 'wedding', 'custom', 'man', 'curious', 'tra']"
1683,"['sigh', 'well', 'congratulation']"
1684,"['uh', 'oh', 'everyone', 'board', 'hat', 'mean', 'bully', 'shuck']"
1685,"['still', 'awake', 'need', 'couch', 'killer', 'cocktail', 'tonight']"
1686,"['yeah', 'saw', 'profile', 'seem', 'real', 'one', 'think']"
1687,"['swift', 'describe', 'lot', 'certain', 'thing', 'right', 'song', 'amaze', 'thanks']"
1688,"['real', 'life', 'happen', 'last', 'forever', 'innocent', 'word', 'yr', 'old', 'hold', 'true', 'even']"
1689,"['create', 'crunch', 'style', 'sale', 'public', 'soon', 'lao', 'chaotic']"
1690,"['guy', 'guy', 'cant', 'study', 'tho', 'paper', 'front']"
1691,"['forget', 'password', 'twitter', 'spend', 'last', 'two', 'try', 'remember', 'last', 'give', 'reset']"
1692,"['miss', 'sickness', 'watch', 'oprah', 'big', 'give', 'bed']"
1693,"['racket', 'werent', 'last', 'couple', 'time', 'check']"
1694,"['still', 'sleep']"
1695,"['well', 'time']"
1696,"['check', 'austin', 'code', 'camp', 'nice', 'seat', 'power', 'supply', 'room', '103', 'sneak', 'peak', '40']"
1697,"['happy', 'birthday', 'andy', 'hurley', 'best', 'drummer', 'ever']"
1698,"['wake', 'half', 'hour', 'late', 'break', 'full', 'length', 'mirror', 'predict', 'today']"
1699,"['science', 'revision', 'bad', 'foot', 'bad']"
1700,[]
1701,"['take', 'care', 'laundry', 'wear', 'bikini', 'today', 'cause', 'run', 'clean', 'undies', 'housewife', 'material']"
1702,"['remember', 'life', 'journey', 'destination']"
1703,"['let', 'recently', 'purchase', 'strawberry', 'bad', 'pooh']"
1704,"['apply', 'dad', 'wouldnt', 'drive', 'manchester', 'audition']"
1705,['fun']
1706,"['asteroid', 'interactive', 'video', 'shuffle', 'way', 'melbourne', 'hot', 'rod', 'contest']"
1707,"['use', 'window', 'laptop', 'break', 'want', 'mac']"
1708,"['lol', 'excuse', 'mein', 'actually', 'really', 'hate']"
1709,"['happy', 'tuesday', 'sweep', 'make', 'gra']"
1710,"['watch', 'anyone', 'wan', 'na', 'cuddle', 'tad', 'scar']"
1711,"['spend', 'last', 'couple', 'hour', 'clean', 'change', 'bed', 'sheet', 'tidy', 'thing', 'study']"
1712,"['make', 'general', 'observation', 'mine', 'year']"
1713,['miss']
1714,['thanks']
1715,"['eat', 'indian', 'food']"
1716,"['oh', 'god', 'ive', 'stand', 'long', 'sore']"
1717,"['hose', 'baby', 'tub', 'flea', 'poison', 'god', 'even', 'start', 'molt']"
1718,"['bad', 'cold']"
1719,"['boston', 'min', 'bus', 'head', 'logan', 'airport', 'later']"
1720,"['thats', 'coincidentally', '95', 'today']"
1721,"['saw', 'sing', 'sub', 'youtube', 'awesome', 'pity', 'rel', 'win', 'oh', 'well', 'night', 'take', 'care']"
1722,"['sure', 'would', 'nice', 'portuguese']"
1723,"['change', 'setting', 'short', 'link', 'anymore', 'change', 'post', 'title', 'naming', 'convention']"
1724,"['still', 'sober', 'still', 'twiddle', 'bollock']"
1725,"['motivation', 'wan', 'na', 'workout', 'gettin', 'ready', 'gym']"
1726,"['dad', 'early', 'ith', 'row', 'pain', 'today', 'cool']"
1727,"['awash', 'thank', 'haha']"
1728,"['yo', 'ta', 'come', 'greyhound', 'cant', 'put', 'mile', 'didi']"
1729,"['watch', 'chris', 'rock', 'tire']"
1730,"['nah', 'think']"
1731,['early']
1732,"['turn', 'landscape', 'mode', 'option']"
1733,"['daughter', 'throw', 'sick', 'aww', 'man']"
1734,"['feel', 'pain', 'ill', 'moment', 'fun']"
1735,"['thought', 'hat', 'music', 'choice', 'offend', 'want', 'hurt', 'feeling']"
1736,"['wood', 'wood', 'wood', 'woo', 'woo', 'wood', 'soooo', 'thank', 'thank', 'thank']"
1737,"['problem', 'know', 'tweet', 'add', 'value', 'somewhere']"
1738,"['aw', 'ex']"
1739,"['home', 'trouble', 'mommy']"
1740,"['thanx', 'follow']"
1741,"['try', 'calm', 'sleep', 'got', 'ta', 'real', 'early', 'want', 'see', 'grumpy', 'bunny', 'night']"
1742,"['wont', 'let', 'see']"
1743,"['finally', 'snow', 'account', 'run', 'yay', 'job', 'canadian', 'snow', 'number', 'anyone', 'else', 'use', 'landline', 'phone', 'call']"
1744,"['sad', 'miss', 'high', 'school', 'graduation', 'recognition', 'today', 'church', 'congratulation', '6']"
1745,['sleep']
1746,"['say', 'check', 'multiply', 'teaser']"
1747,"['feel', 'sucky', 'act', 'try', 'leave', 'home', 'one', 'month', 'enough']"
1748,"['yes', 'wow', 'hope', 'tell', 'want', 'come', 'soon', 'finish', 'see', 'future']"
1749,['id']
1750,"['six', 'flag', 'bummer']"
1751,"['see', 'hannah', 'montana', 'movie', 'today', 'jonathan', 'ross', 'interview', 'convince', 'movie']"
1752,"['come', 'home', '2', 'morning', 'think', 'would', 'tire', 'fell', 'asleep', 'wake', 'reason', 'havent', 'able', 'sleep']"
1753,"['haha', 'indeed']"
1754,"['haha', 'try', 'sneak', 'aw', 'wouldnt', 'best']"
1755,"['oh', 'thats', 'fun', 'pray']"
1756,"['hang', 'settle', 'best', 'bus', 'wait', 'time', '2', 'pas', '4', 'french', 'film', 'shang', 'later']"
1757,"['back', 'aptly', 'need', 'mirage', 'evening', 'oh', 'wellhead', 'gym']"
1758,"['yes', 'think', 'twitter', 'problem']"
1759,"['well', 'thank']"
1760,"['update', 'twitter', 'middle', 'night', 'piss', 'everyone', 'link', 'phone']"
1761,"['home', 'alone', 'parent', 'stockholm', 'brother', 'taipan', 'way', 'back', 'arrive', 'tomorrow']"
1762,"['ahead', 'run', 'lap', 'around', 'big', 'chicken', 'youve', 'want', 'ya', 'know']"
1763,"['employee', 'discount', 'wireless', 'cover', 'data', 'plan', 'cover', 'voice', 'quite']"
1764,"['try', 'figure', 'stuff']"
1765,"['ask', 'tomorrow', 'exhaust', 'bos', 'let', 'know', 'later', 'end', 'financial', 'year', 'next', 'week']"
1766,"['ok', 'home', 'respiratory', 'infection', 'bad', 'cold', 'ear', 'infection', 'poor', 'baby', 'sleep']"
1767,"['rag', 'kind']"
1768,"['friend', 'dink', 'come', 'laugh']"
1769,"['delia', 'pinot', 'free']"
1770,"['neighbor', 'feel', 'urge', 'move', 'input', 'saturday', 'early', 'morning']"
1771,"['sorry', 'parent', 'cool', 'room', 'feeling', 'arent']"
1772,"['book', 'camp', 'tar', 'morning', 'wont', 'till', 'weekend']"
1773,"['hunt', 'infor', 'place', 'move']"
1774,"['wait', 'crab', 'noodle', 'ipod', 'town', 'super', 'hot', 'shop', 'tonight']"
1775,"['pathetic', 'fat']"
1776,"['yes', 'lie', 'picnic', 'blanket', 'outside', 'star', 'use', 'laptop', 'nature', 'lover', 'geek']"
1777,"['hey', 'think', 'maybe', 'fell', 'hole']"
1778,"['save', 'life', 'teach', 'life', 'lesson', 'yet', 'ive', 'still', 'never', 'meet', 'forget', 'reply', 'miley']"
1779,['nope']
1780,"['still', 'kentucky', 'mine']"
1781,"['god', 'mat', 'find', 'still', 'nice', 'place', 'food']"
1782,"['course', 'sorry', 'pic']"
1783,"['congratulation', 'haha', 'oh', 'okay', 'nearly', 'midnight', 'anyway', 'bye', 'lovely', 'chat']"
1784,"['another', 'transatlantic', 'assault', 'english']"
1785,"['yeah', 'let', 'hope', 'offer', 'price', 'expensive', 'helene']"
1786,"['cold', 'wet', 'wait', 'outside', 'girl', 'come', 'start']"
1787,"['haha', 'lol', 'havent', 'talk', 'forever', 'miss', 'chat', 'ugh', 'new', 'suck', 'well', 'much']"
1788,"['one', 'feather', 'hair', 'faucet', 'ive', 'try']"
1789,"['cant', 'bother', 'need', 'motivation', 'climb', 'rut']"
1790,"['awesome', 'wife', 'hop', 'check', 'couldnt', 'babysitter', 'tonight', 'though']"
1791,"['yes', 'play', 'cavern', 'etc', 'multiplex', '6', 'show']"
1792,['thanks']
1793,['summer']
1794,"['chill', 'family', 'vega']"
1795,"['cute', 'perfect', 'picture', 'today', 'since', 'ill', 'study', 'exam']"
1796,"['spent', 'part', 'renovate', 'aquarium', 'couple', 'week', 'worth', 'excavation', 'let', 'see', 'long', 'last']"
1797,"['morning', 'ugh', 'hav', 'gay', 'summer', 'reading', 'book', 'today', 'friend', 'lauren', 'say', 'da', 'book', 'really', 'long']"
1798,"['finally', 'head', 'home', 'blast']"
1799,"['haha', 'year', 'sad', 'tho', 'best', 'movie']"
1800,"['want', 'verse', 'offer', 'side', 'town']"
1801,"['ask', 'ashton', 'force', 'tweet', 'thats', 'answer']"
1802,"['happen', 'one', 'tweet']"
1803,"['lay', 'bed', 'within', 'sleepwalk', '2', 'morrow']"
1804,['nothing']
1805,"['personally', 'think', 'video', 'song', 'justice', 'keep', 'real', 'still']"
1806,"['one', 'cant', 'stand', 'people', 'know', 'act', 'civilize', 'home']"
1807,"['feel', 'sick', 'curse', 'stupid', 'stomach']"
1808,"['hey', 'saw', 'last', 'second', 'check', 'back', 'later', 'see', 'whole', 'thing']"
1809,"['super', 'frickin', 'lame', 'never', 'est', 'answer', 'course', 'right', 'answer', 'wrong']"
1810,"['raining', 'cape', 'town', 'want', 'ride', 'bicycle', 'tire', 'stick', 'door']"
1811,"['indeed', 'aint', 'might', 'kill']"
1812,"['gaining', 'end']"
1813,"['seriously', 'almost', 'cry', 'besides', 'listen', 'bless', 'broken', 'road', 'rascal', 'flat', 'could', 'someone', 'cry', 'hearing']"
1814,"['osso', 'vacay', 'slowly', 'end', 'know', 'may', 'feel', 'call', 'start', 'life', 'church', 'beach', 'campus', 'maybe', 'surf', 'small', 'group']"
1815,"['chillaxing', 'airport', '12', 'time']"
1816,"['shit', 'yeah', '3', 'week', 'whoo', 'yay', 'beach']"
1817,"['know', 'mobile', 'far', 'behind', 'skim', 'still', 'miss']"
1818,"['close', 'enter', 'pogue', 'book', 'today', 'world', 'accord', 'twitter', 'yet', 'seem', 'far']"
1819,"['listen', 'fallin', 'song']"
1820,"['may', 'seem', 'hate', 'job', 'hate', 'monday', 'night', 'sometimes', 'sunday']"
1821,"['please', 'stop', 'take', 'vend', 'machine', 'drink', 'glass', 'hot', 'water', 'instead']"
1822,"['420', 'yet', 'sit', 'school', 'hour']"
1823,['thanks']
1824,"['break', 'today']"
1825,"['skin', 'accessory', 'apps', 'new', 'music', 'cleaning', 'shine']"
1826,"['guess', 'real', 'issue', 'technology']"
1827,"['officially', 'summer', 'yay', 'friday']"
1828,"['luck', 'run', 'suck']"
1829,"['wish', 'could', 'watchin', 'em', 'alone']"
1830,['teepee']
1831,"['thanks', 'recent', 'follower', 'know']"
1832,"['thanks', 'way', 'excite']"
1833,"['blue', 'chip', 'accountant', 'today']"
1834,"['would', 'greatly', 'meet', 'parent', 'let', 'anything', 'even', 'pay', 'lame']"
1835,"['need', 'london', 'job', 'please']"
1836,"['baptize', 'today']"
1837,"['tweet', 'phone']"
1838,"['hey', 'hey', 'back', 'great', 'wolf', 'lodge', 'moving', 'dad', 'soon', 'gon', 'na', 'leave']"
1839,"['james', 'explain']"
1840,"['hey', 'laura', 'well', 'bitch', 'hahaha', 'cant', 'help', 'deserve', 'hell', 'happier', 'know']"
1841,"['thanks', 'make', 'feel', 'loved', 'today', 'friendly']"
1842,"['come', 'home', 'cousin', 'family']"
1843,"['unpack', 'crazy', 'miss', 'everyone', 'back', 'home', 'though']"
1844,"['suck', 'black', 'armband', 'personal', 'right']"
1845,"['today', 'great', 'lol', 'lovely', 'lil', 'pack', 'every', 'lil', 'moment', 'wish', 'sean', 'couldve', 'come']"
1846,"['darn', 'miss', 'see', 'announce', 'commit', 'elsewhere', 'tomorrow', 'luck', 'event', 'lucks', 'interest']"
1847,"['lose', 'follower', 'make', 'sad', 'inside']"
1848,"['shake', 'anticipation']"
1849,"['take', 'alli', 'eat', 'breakfast', 'dress', 'shopping', 'later', 'hopefully', 'ill', 'find', 'something']"
1850,"['new', 'blog', 'post', 'sex', 'religion', 'politics', 'porn', 'religious', 'porn', 'world', 'domination', 'twitter']"
1851,"['parent', 'ride']"
1852,['morning']
1853,['back']
1854,"['make', 'sure', 'time', 'hand', 'upgrade', 'take', 'touch', 'almost']"
1855,"['hate', 'si', 'hate', 'morgan']"
1856,"['hate', 'money', 'roll', 'payday']"
1857,"['damn', 'need', 'quit', 'bed', 'late', 'night', 'weekend', 'cant', 'sleep']"
1858,"['talk', 'american', 'idol', 'really', 'happy', 'kris', 'win', 'guy', 'really', 'actually', 'favorite', '4', 'finalist']"
1859,"['even', 'blonde', 'closest', 'youve', 'blonde', 'julian', 'birthday', 'yellow', 'badge', 'well']"
1860,"['hehe', 'guess', 'answer']"
1861,"['sleepy', 'hell', 'dna', 'wonna', 'qo', 'plus', 'hot', 'outside']"
1862,"['digital', 'camera', 'job', 'power', 'shot', 'one', 'portable', 'less', 'expensive']"
1863,"['footnote', 'fat', 'old', 'man', 'tell', 'house', 'check', 'rest', 'saw', '40', 'la', 'lizard', 'outside', 'yes']"
1864,"['head', 'hurt', 'hell']"
1865,"['chest', 'bi', 'tonight', 'ross', 'tomorrow', 'kinda', 'upset', 'cant', 'gym']"
1866,"['today', 'tough', 'miss', 'daddy', 'lot']"
1867,"['track', 'strange']"
1868,"['bring', 'younger', 'brother', 'airport', 'wanna', 'leave', 'state']"
1869,"['anyone', 'interested', 'try', 'nano', 'warmup', 'july', '50000', 'word', 'july', 'est', 'end', 'month']"
1870,"['temptation', 'fun', 'give', 'even', 'funner']"
1871,"['sound', 'fun', 'write', 'song', 'know', 'play', 'guitar', 'ill', 'find', 'away', 'lol']"
1872,"['hello', 'nice', 'know', 'fine', 'thankyou']"
1873,"['oh', 'ive', 'want', 'something']"
1874,['whatta']
1875,"['yeah', 'latest', 'list']"
1876,"['ive', 'come', 'term', 'long', 'run', 'everything', 'end', 'right', 'belong']"
1877,"['need', 'link', 'post', 'already', 'thanks', 'though']"
1878,"['wouldnt', 'happen', 'still', 'ny', 'gig', 'friday', 'saturday', 'next', 'week']"
1879,"['nope', 'fix', 'sad']"
1880,"['frickin', 'tire', 'bout', 'pass', 'goodnight', 'world', 'see', 'tomorow']"
1881,"['mooning', 'suck']"
1882,[]
1883,"['mornin', 'head', 'meeting']"
1884,['almost']
1885,"['bow', 'prohibit', 'refit']"
1886,"['really', 'think', 'bos', 'would', 'felt', 'guilty', 'let', 'say', 'tomorrow', 'feel', 'guilty', 'today']"
1887,"['storm', 'really', 'bad', 'epic', 'fail']"
1888,"['soup', 'already', 'confirm']"
1889,"['know', 'new', 'shoe', 'wear', 'tomorrow', 'mean', 'know', 'clothe', 'wear', 'girl', 'hard']"
1890,"['thanks', 'recommend', 'please', 'let', 'know', 'help', 'anything']"
1891,"['much', 'bracelet']"
1892,"['ill', 'vow', 'mad', 'ive', 'wait', 'time', 'poof', 'back', 'away']"
1893,"['cant', 'comment', 'directly', 'someone', 'alone']"
1894,"['top', '20', 'way', 'green', 'pretty', 'helpful', 'kinda', 'cool', 'actually']"
1895,"['right', 'coursework', 'promise']"
1896,"['best', 'class', 'want', 'ice', 'see', 'cuz', 'talk', 'centons', 'miss', 'ol']"
1897,"['plus', 'follow', 'follow', 'soppy', 'want', 'make', 'sure', 'clear']"
1898,"['ah', 'morning']"
1899,['want']
1900,"['want', 'owl']"
1901,"['know', '6', 'different', 'way', 'screw', 'update', 'savanna', 'zero', 'way', 'right', 'progress']"
1902,"['know', 'piece', 'fit', 'cuz', 'watch', 'fall', 'away', 'schizo', 'tool']"
1903,"['hate', 'saturday', 'turn', 'worst', 'ive', 'ever']"
1904,"['want', 'berlin']"
1905,"['clash', 'virtual', 'console', 'game']"
1906,"['vote', 'opinion', 'susan', 'boyle']"
1907,"['leave', 'night', 'much', 'att', 'xoxo']"
1908,"['sorry', 'cant', 'help', 'hate', 'loud', 'sneeze']"
1909,"['miss', 'party', 'racer']"
1910,"['smile', 'long', 'tomorrow']"
1911,"['hate', 'thing']"
1912,"['last', 'poker', 'game', 'summer', 'tonight', 'sad']"
1913,"['ordeal', 'hehe']"
1914,"['yep', 'monday', 'home', 'short', 'week', 'holiday', 'end', 'week']"
1915,"['2', 'see', 'bec', 'scythe', 'sarah']"
1916,"['copyright', 'hahaha']"
1917,"['hot', 'press', 'air', 'conditioner', 'officially', 'broken']"
1918,[]
1919,"['hello', 'old', 'self', 'make', 'much', 'sense', 'cab', 'super', 'cool']"
1920,"['come', 'home', 'girl', 'miss']"
1921,['raining']
1922,"['friend', 'maybe', 'friend']"
1923,"['new', 'design', 'blog', 'woo']"
1924,[]
1925,"['sick', 'look', 'terrible', 'weather', 'even', 'sicker', 'scarf']"
1926,"['say', 'bye', 'angry']"
1927,"['always', 'feel', 'never', 'enough', 'special', 'someone']"
1928,"['order', 'jack', 'shirt', 'hopefully', 'without', 'problem']"
1929,"['top', 'ear', 'infection', 'poor', 'little', 'thing', 'havent', 'pay', 'ear', 'tube', 'hope', 'wont', 'replace']"
1930,"['verdict', 'update', 'post', 'width', 'increase', 'cant', 'update', 'sidebar', 'sell', 'ad', 'width', 'bigger']"
1931,"['insomnia', 'sleep']"
1932,['leave']
1933,['morning']
1934,"['thank', 'recommend', 'nice', 'time']"
1935,"['lady', 'ready', 'super', 'stardom', 'cause', 'gon', 'na', 'come', 'fall', 'sure']"
1936,"['back', 'virgin', 'island']"
1937,"['link', 'break', 'ill', 'check', 'job', 'board', 'pas', 'kinda', 'awesome']"
1938,"['thats', 'awesome', 'tell', 'hi', 'congrats']"
1939,"['ah', 'mean', 'cant', 'play', 'faggy', 'generic', 'drug', 'xbox', 'live']"
1940,"['watch', 'performance', 'think', 'ryan', 'hit', 'one', 'backing', 'vocalist']"
1941,"['hey', 'check']"
1942,"['take', 'nanny', 'travel', 'id', 'miserable', 'without', 'munchkins']"
1943,"['oh', 'well', 'ill', 'suck']"
1944,"['make', '30', 'tonight', 'bowl', 'hah', 'ha', 'hah', 'people', 'underestimate', 'lol']"
1945,['car']
1946,"['barely', 'sew', 'seam', 'remind', 'mei', 'really', 'need', 'make', 'time', 'sewing', 'lesson', 'miss', 'rhonda']"
1947,"['cant', 'sorry']"
1948,"['make', 'away']"
1949,"['look', 'even', 'busier']"
1950,"['pour', 'ny', 'umbrella', 'cab', 'feeling', 'long', 'night']"
1951,"['pick', 'jess', 'prom', 'dress', 'shopping', 'wish', 'luck']"
1952,"['cant', 'sleep', 'watch']"
1953,"['thanks', 'morning', 'back', 'nice', 'hear', 'wonderful', 'tweet']"
1954,"['new', 'beautiful', 'dazzle', 'demi', 'locate']"
1955,"['ever', 'come', 'bay', 'area', 'perform', 'feel', 'leave']"
1956,"['yall', 'fun', 'next', 'time', 'shout', 'ill', 'come', 'join', 'would', 'jump']"
1957,"['would', 'thats', 'think']"
1958,['pull']
1959,"['bed', 'cuz', '1030', 'know', 'soo', 'early']"
1960,"['lot', 'thing', 'nico', 'gud', 'news', 'job', 'bad', 'news', 'middle', 'nowhere', 'phone', '4', 'twitter', 'cut', 'play', 'video']"
1961,"['neil', 'mention', 'today', 'speech']"
1962,['sigh']
1963,"['spell', 'name', 'wrong', 'brittany', 'fail', 'thank']"
1964,"['voice', 'duke', 'nuke', 'voice', 'zoe', 'lead', '300']"
1965,"['eat', 'breakfast', 'school', 'speaker', 'grade', 'come', 'today']"
1966,"['twilight', 'many', 'award', 'mav', 'movie', 'award', 'god', 'give', 'humanity']"
1967,"['pasta', 'ketchup', 'whats', 'easier', 'sandwich', 'feel', 'cook', 'either', 'heh', 'ever']"
1968,"['ruin', 'many', 'spin', 'sweepstake']"
1969,"['give', 'bug', 'bite', 'anti', 'itch', 'stuff', 'lao', 'thats', 'terrible', 'ily', 'let', 'eat', 'anymore', 'please']"
1970,"['wish', 'could', 'come', 'weekend', 'book']"
1971,"['virus', 'fix', 'today']"
1972,"['ridiculously', 'late', 'tell', 'haha', 'bad', 'altogether']"
1973,"['wish', 'happy', 'sunny', 'week']"
1974,"['everything', 'kill', 'battery', 'though', 'mate', 'sacrifice', 'willing', 'make', 'moment']"
1975,"['twitter', 'friend', 'online', 'right', 'need', 'snuggle', 'tire', 'tummy', 'pain', 'hold']"
1976,"['know', 'abandonment', 'issue', 'least', 'fran', 'wednesday', 'sunday']"
1977,"['fan', 'bag', 'though']"
1978,"['make', 'black', 'heres', 'new', 'avatar', 'way']"
1979,"['right', 'back', 'watcha']"
1980,"['hi', 'movie', 'zac', 'please', 'hahaha', 'please', 'say', 'hi']"
1981,"['sorry', 'hear', 'bout', 'grandma']"
1982,"['tempt', 'cream', 'cheese', 'spread', 'positive', 'thank']"
1983,"['honest', 'cancellation', 'primeval', 'take', 'surprise']"
1984,"['early', 'bike', 'ride', 'lay', 'tan', 'lo']"
1985,"['say', 'find']"
1986,"['laker', 'victory', 'celebration', 'baby', 'bad', 'iam', 'heading', 'office', 'today']"
1987,"['hard', 'time', 'back', 'twitter']"
1988,"['still', 'feel', 'blew', 'feel', 'well', 'soon', 'ya', 'oh', 'still', 'free', 'wednesday', 'sure', 'free', 'seem']"
1989,"['tweet', 'business', 'slow']"
1990,"['11', 'fix', 'many', 'plain', 'issue', 'add', 'menu', 'support']"
1991,"['hey', 'myspace', 'page']"
1992,"['email', 'people', 'back', 'forth', 'chat', 'room', 'awesome']"
1993,"['happen', 'daryl', 'hannah']"
1994,"['alcohol', 'others', 'gamble', 'still', 'others', 'illicit', 'drugstore', 'phone']"
1995,"['pass', 'back', 'updated', 'version', 'level', 'use', 'builder', 'await', '360', 'controller', 'test']"
1996,"['aww', 'ive', 'say', 'three', 'time', 'today', 'know', 'people', 'annoy', 'chance', 'back', 'ex']"
1997,"['hate', 'wait']"
1998,"['short', '525', 'hour', 'leave']"
1999,"['wish', 'thin', 'grab', 'fat']"
2000,"['ha', 'answer', 'lose', 'voice', 'cant', 'even', 'text', 'back', 'credit']"
2001,"['sometimes', 'make', 'weird', 'sound', 'mouth', 'absolutely', 'reason', 'odd', 'guess', 'kinda']"
2002,"['paint', 'nail', 'light']"
2003,"['welcome', 'tweed', 'yes']"
2004,"['wish', 'see', 'transformer', 'tonight']"
2005,"['ill', 'never', 'lose', 'respect', 'magic', 'call', 'takin', 'mad', 'lakers', 'pave', 'way']"
2006,"['wish', 'live', 'mexico']"
2007,"['thats', 'exactly', 'feel', 'everyday', 'sorry']"
2008,"['dun', 'feel', 'wat', 'dower']"
2009,"['dinner', 'pub', 'mum']"
2010,"['well', 'sure', 'trout', 'talkin', 'sandwich']"
2011,"['back', 'babe', 'celled', 'miss', 'babe']"
2012,"['10', 'clock', 'entire']"
2013,"['tired', 'feel', 'lonely']"
2014,"['air', 'pillow', 'make', 'play', 'len', 'show', 'though', 'actually', 'sound', 'clever']"
2015,['headache']
2016,"['definitely', 'withdrawal']"
2017,"['guess', 'late']"
2018,['follow']
2019,"['wow', 'many', 'hear', 'yer', 'try', 'sell', 'ride']"
2020,"['hug', 'ya', 'hiya', 'sweetie', 'hows', 'sorry', 'want', 'ignore', 'ya', 'drivin']"
2021,"['neither', 'facebook', 'ugh', 'internet', 'fail', 'whale', 'watching', 'skin', 'though', 'bad']"
2022,"['hey', 'gain', 'guess']"
2023,"['yawn', 'wake', 'great', 'sleep', 'oh', 'ready', 'reenter']"
2024,"['eeny', 'mint', 'chunk', 'chocolate', 'truth', 'place']"
